Frequency NON_00 NON_01 NON_11 IBD_00 IBD_01 IBD_11
0.000 1.00000000 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000
0.002 0.99886412 0.00113240 0.00000349 0.99886315 0.00018648 0.00095037
0.004 0.99772823 0.00226480 0.00000697 0.99772631 0.00037295 0.00190074
0.006 0.99464550 0.00532549 0.00002900 0.99585510 0.00051909 0.00362581
0.008 0.98961593 0.01031448 0.00006958 0.99324954 0.00062489 0.00612557
0.010 0.98458636 0.01530348 0.00011016 0.99064397 0.00073069 0.00862534
0.012 0.97955679 0.02029247 0.00015074 0.98803841 0.00083648 0.01112511
0.014 0.97452722 0.02528146 0.00019132 0.98543285 0.00094228 0.01362487
0.016 0.97003966 0.02970816 0.00025218 0.98311873 0.00101778 0.01586349
0.018 0.96609412 0.03357258 0.00033331 0.98109605 0.00106300 0.01784095
0.020 0.96214857 0.03743699 0.00041444 0.97907338 0.00110821 0.01981841
0.022 0.95820303 0.04130140 0.00049557 0.97705070 0.00115343 0.02179587
0.024 0.95425749 0.04516582 0.00057670 0.97502803 0.00119864 0.02377333
0.026 0.95044237 0.04887855 0.00067908 0.97287385 0.00125308 0.02587307
0.028 0.94675767 0.05243961 0.00080272 0.97058818 0.00131673 0.02809509
0.030 0.94307297 0.05600067 0.00092636 0.96830250 0.00138039 0.03031711
0.032 0.93938828 0.05956172 0.00105000 0.96601682 0.00144405 0.03253913
0.034 0.93570358 0.06312278 0.00117364 0.96373114 0.00150771 0.03476115
0.036 0.93198140 0.06669519 0.00132340 0.96145845 0.00155720 0.03698436
0.038 0.92822175 0.07027896 0.00149929 0.95919873 0.00159251 0.03920876
0.040 0.92446209 0.07386274 0.00167517 0.95693902 0.00162782 0.04143316
0.042 0.92070244 0.07744651 0.00185106 0.95467931 0.00166313 0.04365756
0.044 0.91694278 0.08103028 0.00202694 0.95241960 0.00169845 0.04588196
0.046 0.91329734 0.08448849 0.00221417 0.95042896 0.00175549 0.04781555
0.048 0.90976611 0.08782113 0.00241276 0.94870739 0.00183426 0.04945834
0.050 0.90623488 0.09115377 0.00261134 0.94698583 0.00191304 0.05110113
0.052 0.90270366 0.09448642 0.00280993 0.94526426 0.00199181 0.05274392
0.054 0.89917243 0.09781906 0.00300851 0.94354270 0.00207059 0.05438671
0.056 0.89552913 0.10123136 0.00323950 0.94168062 0.00213752 0.05618186
0.058 0.89177377 0.10472333 0.00350289 0.93967802 0.00219261 0.05812936
0.060 0.88801842 0.10821530 0.00376629 0.93767543 0.00224770 0.06007687
0.062 0.88426306 0.11170727 0.00402968 0.93567283 0.00230279 0.06202438
0.064 0.88050770 0.11519923 0.00429307 0.93367023 0.00235788 0.06397188
0.066 0.87688153 0.11854405 0.00457442 0.93156833 0.00242198 0.06600969
0.068 0.87338456 0.12174171 0.00487373 0.92936710 0.00249509 0.06813781
0.070 0.86988759 0.12493938 0.00517304 0.92716588 0.00256820 0.07026592
0.072 0.86639061 0.12813704 0.00547234 0.92496466 0.00264131 0.07239403
0.074 0.86289364 0.13133471 0.00577165 0.92276343 0.00271442 0.07452214
0.076 0.85939136 0.13451554 0.00609310 0.92075019 0.00273440 0.07651541
0.078 0.85588376 0.13767955 0.00643669 0.91892493 0.00270123 0.07837384
0.080 0.85237616 0.14084356 0.00678028 0.91709967 0.00266807 0.08023226
0.082 0.84886856 0.14400756 0.00712388 0.91527441 0.00263490 0.08209069
0.084 0.84536096 0.14717157 0.00746747 0.91344915 0.00260174 0.08394912
0.086 0.84181111 0.15034368 0.00784520 0.91168105 0.00261615 0.08570280
0.088 0.83821901 0.15352391 0.00825708 0.90997013 0.00267813 0.08735174
0.090 0.83462691 0.15670413 0.00866895 0.90825920 0.00274012 0.08900068
0.092 0.83103481 0.15988436 0.00908083 0.90654828 0.00280210 0.09064962
0.094 0.82744271 0.16306458 0.00949271 0.90483735 0.00286409 0.09229856
0.096 0.82411402 0.16598713 0.00989884 0.90276951 0.00292293 0.09430756
0.098 0.82104874 0.16865202 0.01029924 0.90034475 0.00297861 0.09667664
0.100 0.81798347 0.17131690 0.01069963 0.89791999 0.00303430 0.09904571
0.102 0.81491819 0.17398178 0.01110003 0.89549523 0.00308998 0.10141479
0.104 0.81185291 0.17664667 0.01150043 0.89307047 0.00314567 0.10378386
0.106 0.80846814 0.17959721 0.01193465 0.89111690 0.00319965 0.10568345
0.108 0.80476388 0.18283341 0.01240271 0.88963453 0.00325192 0.10711355
0.110 0.80105963 0.18606961 0.01287076 0.88815215 0.00330420 0.10854365
0.112 0.79735537 0.18930581 0.01333881 0.88666978 0.00335647 0.10997375
0.114 0.79365112 0.19254201 0.01380687 0.88518740 0.00340875 0.11140385
0.116 0.79009254 0.19564807 0.01425938 0.88341464 0.00344843 0.11313693
0.118 0.78667965 0.19862399 0.01469636 0.88135148 0.00347552 0.11517300
0.120 0.78326675 0.20159991 0.01513334 0.87928833 0.00350261 0.11720906
0.122 0.77985386 0.20457582 0.01557032 0.87722518 0.00352970 0.11924512
0.124 0.77644096 0.20755174 0.01600730 0.87516202 0.00355679 0.12128119
0.126 0.77303191 0.21044161 0.01652648 0.87286759 0.00362407 0.12350834
0.128 0.76962671 0.21324543 0.01712786 0.87034188 0.00373153 0.12592659
0.130 0.76622150 0.21604926 0.01772924 0.86781617 0.00383900 0.12834483
0.132 0.76281630 0.21885308 0.01833062 0.86529046 0.00394647 0.13076308
0.134 0.75941109 0.22165690 0.01893201 0.86276474 0.00405394 0.13318132
0.136 0.75608622 0.22438003 0.01953376 0.86072680 0.00414419 0.13512901
0.138 0.75284168 0.22702245 0.02013588 0.85917663 0.00421722 0.13660614
0.140 0.74959714 0.22966487 0.02073799 0.85762646 0.00429026 0.13808328
0.142 0.74635260 0.23230729 0.02134011 0.85607629 0.00436330 0.13956041
0.144 0.74310806 0.23494972 0.02194223 0.85452612 0.00443633 0.14103755
0.146 0.73981060 0.23764140 0.02254800 0.85274212 0.00444509 0.14281280
0.148 0.73646023 0.24038236 0.02315742 0.85072429 0.00438956 0.14488615
0.150 0.73310985 0.24312331 0.02376684 0.84870646 0.00433402 0.14695951
0.152 0.72975948 0.24586426 0.02437626 0.84668864 0.00427849 0.14903287
