Frequency CON_NON CON_IBD DIS_NON DIS_IBD
0.0004 0.18582443 0.81417557 0.09355411 0.90644589
0.0006 0.15543045 0.84456955 0.08065014 0.91934986
0.0008 0.09695281 0.90304719 0.05084094 0.94915906
0.0010 0.07401439 0.92598561 0.03789888 0.96210112
0.0012 0.07152251 0.92847749 0.03629302 0.96370698
0.0014 0.05151354 0.94848646 0.02618290 0.97381710
0.0016 0.06046736 0.93953264 0.03065913 0.96934087
0.0018 0.04801140 0.95198860 0.02456746 0.97543254
0.0020 0.05148803 0.94851197 0.02622711 0.97377289
0.0022 0.05233825 0.94766175 0.02648953 0.97351047
0.0024 0.05398568 0.94601432 0.02736590 0.97263410
0.0026 0.05763966 0.94236034 0.02922957 0.97077043
0.0028 0.04727225 0.95272775 0.02406675 0.97593325
0.0030 0.04535980 0.95464020 0.02314862 0.97685138
0.0032 0.04762829 0.95237171 0.02432962 0.97567038
0.0034 0.05150628 0.94849372 0.02639353 0.97360647
0.0036 0.05276944 0.94723056 0.02684764 0.97315236
0.0038 0.04999938 0.95000062 0.02553673 0.97446327
0.0040 0.03905648 0.96094352 0.01988049 0.98011951
0.0042 0.04779874 0.95220126 0.02442809 0.97557191
0.0044 0.04762840 0.95237160 0.02438963 0.97561037
0.0046 0.03399042 0.96600958 0.01731949 0.98268051
0.0048 0.03813272 0.96186728 0.01954581 0.98045419
0.0050 0.03508971 0.96491029 0.01780850 0.98219150
0.0052 0.03554241 0.96445759 0.01801154 0.98198846
0.0054 0.03350714 0.96649286 0.01710000 0.98290000
0.0056 0.03452122 0.96547878 0.01776144 0.98223856
0.0058 0.03428087 0.96571913 0.01746557 0.98253443
0.0060 0.03346368 0.96653632 0.01693746 0.98306254
0.0062 0.03796273 0.96203727 0.01935725 0.98064275
0.0064 0.03987018 0.96012982 0.02028683 0.97971317
0.0066 0.03548769 0.96451231 0.01815250 0.98184750
0.0068 0.03715604 0.96284396 0.01903193 0.98096807
0.0070 0.03601673 0.96398327 0.01846763 0.98153237
0.0072 0.03172551 0.96827449 0.01593707 0.98406293
0.0074 0.03475097 0.96524903 0.01771351 0.98228649
0.0076 0.03632228 0.96367772 0.01849954 0.98150046
0.0078 0.03461432 0.96538568 0.01763351 0.98236649
0.0080 0.02631258 0.97368742 0.01345952 0.98654048
0.0082 0.02816640 0.97183360 0.01443046 0.98556954
0.0084 0.03026080 0.96973920 0.01564727 0.98435273
0.0086 0.03564808 0.96435192 0.01830761 0.98169239
0.0088 0.03643231 0.96356769 0.01868408 0.98131592
0.0090 0.03694499 0.96305501 0.01916978 0.98083022
0.0092 0.03700075 0.96299925 0.01915775 0.98084225
0.0094 0.03404106 0.96595894 0.01754677 0.98245323
0.0096 0.03112835 0.96887165 0.01608120 0.98391880
0.0098 0.02724661 0.97275339 0.01370756 0.98629244
0.0100 0.02641017 0.97358983 0.01350492 0.98649508
0.0102 0.02968696 0.97031304 0.01522281 0.98477719
0.0104 0.02945328 0.97054672 0.01509174 0.98490826
0.0106 0.03116806 0.96883194 0.01606891 0.98393109
0.0108 0.02351428 0.97648572 0.01218085 0.98781915
0.0110 0.02651319 0.97348681 0.01348837 0.98651163
0.0112 0.02401961 0.97598039 0.01246471 0.98753529
0.0114 0.02714425 0.97285575 0.01402444 0.98597556
0.0116 0.03085299 0.96914701 0.01581386 0.98418614
0.0118 0.02756423 0.97243577 0.01423077 0.98576923
0.0120 0.02552237 0.97447763 0.01304444 0.98695556
0.0122 0.02857316 0.97142684 0.01453333 0.98546667
